PROVINCIA,TIPO DE CREDITO, MONTO OTORGADO ,TIPO CREDITO
ESMERALDAS,COMERCIAL ORDINARIO,183900.4,COMERCIAL
ESMERALDAS,COMERCIAL PRIORITARIO CORPORATIVO,29841403.32,COMERCIAL
ESMERALDAS,COMERCIAL PRIORITARIO EMPRESARIAL,16202038.35,COMERCIAL
ESMERALDAS,COMERCIAL PRIORITARIO PYMES,20648223.64,COMERCIAL
ESMERALDAS,CONSUMO ORDINARIO,3102605.6,CONSUMO
ESMERALDAS,CONSUMO PRIORITARIO,33852101.54,CONSUMO
ESMERALDAS,EDUCATIVO,106243.61,EDUCATIVO
ESMERALDAS,INMOBILIARIO,1803843.2,INMOBILIARIO
ESMERALDAS,INVERSION PUBLICA,4372786.67,INVERSION PUBLICA
ESMERALDAS,MICROCREDITO DE ACUMULACION AMPLIADA,21814761.32,MICROCREDITO
ESMERALDAS,MICROCREDITO DE ACUMULACION SIMPLE,39315607.96,MICROCREDITO
ESMERALDAS,MICROCREDITO MINORISTA,4386755.22,MICROCREDITO
ESMERALDAS,PRODUCTIVO CORPORATIVO,1040100,PRODUCTIVO
ESMERALDAS,PRODUCTIVO EMPRESARIAL,2293000,PRODUCTIVO
ESMERALDAS,PRODUCTIVO PYMES,2769489.06,PRODUCTIVO
ESMERALDAS,VIVIENDA INTERES PUBLICO,161763.69,VIVIENDA INTERES PUBLICO
GALAPAGOS,COMERCIAL PRIORITARIO CORPORATIVO,49340.26,COMERCIAL
GALAPAGOS,COMERCIAL PRIORITARIO EMPRESARIAL,2950047,COMERCIAL
GALAPAGOS,COMERCIAL PRIORITARIO PYMES,947433.16,COMERCIAL
GALAPAGOS,CONSUMO ORDINARIO,20042.4,CONSUMO
GALAPAGOS,CONSUMO PRIORITARIO,1453701.44,CONSUMO
GALAPAGOS,EDUCATIVO,41918.67,EDUCATIVO
GALAPAGOS,INMOBILIARIO,708000,INMOBILIARIO
GALAPAGOS,INVERSION PUBLICA,5080572.45,INVERSION PUBLICA
GALAPAGOS,MICROCREDITO DE ACUMULACION AMPLIADA,4255962.91,MICROCREDITO
GALAPAGOS,MICROCREDITO DE ACUMULACION SIMPLE,1051407.68,MICROCREDITO
GALAPAGOS,MICROCREDITO MINORISTA,4481.84,MICROCREDITO
GALAPAGOS,PRODUCTIVO EMPRESARIAL,2626000,PRODUCTIVO
GALAPAGOS,PRODUCTIVO PYMES,3032500,PRODUCTIVO
GUAYAS,COMERCIAL ORDINARIO,311341173.4,COMERCIAL
GUAYAS,COMERCIAL PRIORITARIO CORPORATIVO,4986264042,COMERCIAL
GUAYAS,COMERCIAL PRIORITARIO EMPRESARIAL,766625567.1,COMERCIAL
GUAYAS,COMERCIAL PRIORITARIO PYMES,724303436.3,COMERCIAL
GUAYAS,CONSUMO ORDINARIO,81498040.48,CONSUMO
GUAYAS,CONSUMO PRIORITARIO,488057649.8,CONSUMO
GUAYAS,EDUCATIVO,12164600.88,EDUCATIVO
GUAYAS,INMOBILIARIO,167014813.3,INMOBILIARIO
GUAYAS,INVERSION PUBLICA,9052783.15,INVERSION PUBLICA
GUAYAS,MICROCREDITO DE ACUMULACION AMPLIADA,76112229.38,MICROCREDITO
GUAYAS,MICROCREDITO DE ACUMULACION SIMPLE,238362749.7,MICROCREDITO
GUAYAS,MICROCREDITO MINORISTA,18179850.57,MICROCREDITO
GUAYAS,PRODUCTIVO CORPORATIVO,453033867.7,PRODUCTIVO
GUAYAS,PRODUCTIVO EMPRESARIAL,81053945.42,PRODUCTIVO
GUAYAS,PRODUCTIVO PYMES,37382910.27,PRODUCTIVO
GUAYAS,VIVIENDA INTERES PUBLICO,21307876.56,VIVIENDA INTERES PUBLICO
IMBABURA,COMERCIAL ORDINARIO,100783374.7,COMERCIAL
IMBABURA,COMERCIAL PRIORITARIO CORPORATIVO,62431868.05,COMERCIAL
IMBABURA,COMERCIAL PRIORITARIO EMPRESARIAL,24881147.1,COMERCIAL
IMBABURA,COMERCIAL PRIORITARIO PYMES,38370859.3,COMERCIAL
IMBABURA,CONSUMO ORDINARIO,4829972.43,CONSUMO
IMBABURA,CONSUMO PRIORITARIO,50022171.44,CONSUMO
IMBABURA,EDUCATIVO,965002.3,EDUCATIVO
IMBABURA,INMOBILIARIO,12811258.84,INMOBILIARIO
IMBABURA,INVERSION PUBLICA,7370803.72,INVERSION PUBLICA
IMBABURA,MICROCREDITO DE ACUMULACION AMPLIADA,26058495.69,MICROCREDITO
