Mes,Zonal,Provincia,Sucursal,Oficina,Tipo de cuenta,Saldo,No Cuentas,No Clientes
may-16,ZONAL GUAYAQUIL,BOLIVAR,GUARANDA,LAS NAVES,DPF,12000.00,3,3
may-16,ZONAL GUAYAQUIL,GALAPAGOS,PUERTO BAQUERIZO MORENO,PTO. AYORA (AG.),Ahorro,2640091.36,4744,4700
may-16,ZONAL GUAYAQUIL,GALAPAGOS,PUERTO BAQUERIZO MORENO,PTO. AYORA (AG.),Corriente,287078.42,297,289
may-16,ZONAL GUAYAQUIL,GALAPAGOS,PUERTO BAQUERIZO MORENO,PTO. AYORA (AG.),DPF,270801.66,7,7
may-16,ZONAL GUAYAQUIL,GALAPAGOS,PUERTO BAQUERIZO MORENO,PTO. BAQUERIZO MORENO,Ahorro,1977423.01,4311,4217
may-16,ZONAL GUAYAQUIL,GALAPAGOS,PUERTO BAQUERIZO MORENO,PTO. BAQUERIZO MORENO,Corriente,269875.08,113,107
may-16,ZONAL GUAYAQUIL,GALAPAGOS,PUERTO BAQUERIZO MORENO,PTO. BAQUERIZO MORENO,DPF,411018.07,12,12
may-16,ZONAL GUAYAQUIL,GALAPAGOS,PUERTO BAQUERIZO MORENO,PUERTO VILLAMIL (AG),Ahorro,520301.33,1023,1013
may-16,ZONAL GUAYAQUIL,GALAPAGOS,PUERTO BAQUERIZO MORENO,PUERTO VILLAMIL (AG),Corriente,79463.89,64,63
may-16,ZONAL GUAYAQUIL,GUAYAS,GUAYAQUIL,ATARAZANA (AG.),Ahorro,2034898.49,43074,42927
may-16,ZONAL GUAYAQUIL,GUAYAS,GUAYAQUIL,ATARAZANA (AG.),Corriente,188102.55,302,300
may-16,ZONAL GUAYAQUIL,GUAYAS,GUAYAQUIL,ATARAZANA (AG.),DPF,271618.79,15,14
may-16,ZONAL GUAYAQUIL,GUAYAS,GUAYAQUIL,BALZAR (AG.),Ahorro,2061602.24,24088,23408
may-16,ZONAL GUAYAQUIL,GUAYAS,GUAYAQUIL,BALZAR (AG.),Corriente,55106.30,158,143
may-16,ZONAL GUAYAQUIL,GUAYAS,GUAYAQUIL,BALZAR (AG.),DPF,338048.07,24,24
may-16,ZONAL GUAYAQUIL,GUAYAS,GUAYAQUIL,CHONGON (OE),Ahorro,407253.92,7124,7094
may-16,ZONAL GUAYAQUIL,GUAYAS,GUAYAQUIL,CHONGON (OE),Corriente,100665.77,83,83
may-16,ZONAL GUAYAQUIL,GUAYAS,GUAYAQUIL,CHONGON (OE),DPF,48136.00,9,9
may-16,ZONAL GUAYAQUIL,GUAYAS,GUAYAQUIL,COLIMES (AG.),Ahorro,307059.15,2594,2581
may-16,ZONAL GUAYAQUIL,GUAYAS,GUAYAQUIL,COLIMES (AG.),Corriente,75717.06,35,35
may-16,ZONAL GUAYAQUIL,GUAYAS,GUAYAQUIL,COLIMES (AG.),DPF,28485.81,2,2
may-16,ZONAL GUAYAQUIL,GUAYAS,GUAYAQUIL,DAULE (AG.),Ahorro,2015708.70,30576,30247
may-16,ZONAL GUAYAQUIL,GUAYAS,GUAYAQUIL,DAULE (AG.),Corriente,379189.47,277,263
may-16,ZONAL GUAYAQUIL,GUAYAS,GUAYAQUIL,DAULE (AG.),DPF,394248.35,38,31
may-16,ZONAL GUAYAQUIL,GUAYAS,GUAYAQUIL,DURAN (OE),Ahorro,82494.34,855,855
may-16,ZONAL GUAYAQUIL,GUAYAS,GUAYAQUIL,DURAN (OE),Corriente,8458.49,7,7
may-16,ZONAL GUAYAQUIL,GUAYAS,GUAYAQUIL,EL EMPALME (AG.),Ahorro,3484130.19,24821,24352
may-16,ZONAL GUAYAQUIL,GUAYAS,GUAYAQUIL,EL EMPALME (AG.),Corriente,247598.63,348,337
may-16,ZONAL GUAYAQUIL,GUAYAS,GUAYAQUIL,EL EMPALME (AG.),DPF,702722.00,38,36
may-16,ZONAL GUAYAQUIL,GUAYAS,GUAYAQUIL,EL TRIUNFO (AG.),Ahorro,1331673.87,15589,15368
may-16,ZONAL GUAYAQUIL,GUAYAS,GUAYAQUIL,EL TRIUNFO (AG.),Corriente,101901.45,191,187
may-16,ZONAL GUAYAQUIL,GUAYAS,GUAYAQUIL,EL TRIUNFO (AG.),DPF,655630.66,24,21
may-16,ZONAL GUAYAQUIL,GUAYAS,GUAYAQUIL,GUASMO (AG.),Ahorro,427887.32,13784,13776
may-16,ZONAL GUAYAQUIL,GUAYAS,GUAYAQUIL,GUASMO (AG.),Corriente,8487.45,48,48
may-16,ZONAL GUAYAQUIL,GUAYAS,GUAYAQUIL,GUAYAQUIL,Ahorro,8664440.71,126093,125478
may-16,ZONAL GUAYAQUIL,GUAYAS,GUAYAQUIL,GUAYAQUIL,Corriente,6010834.13,1370,1290
may-16,ZONAL GUAYAQUIL,GUAYAS,GUAYAQUIL,GUAYAQUIL,DPF,4909111.57,133,120
may-16,ZONAL GUAYAQUIL,GUAYAS,GUAYAQUIL,MILAGRO,Ahorro,3861079.63,27352,27188
may-16,ZONAL GUAYAQUIL,GUAYAS,GUAYAQUIL,MILAGRO,Corriente,398909.29,416,399
may-16,ZONAL GUAYAQUIL,GUAYAS,GUAYAQUIL,MILAGRO,DPF,1322323.50,94,77
may-16,ZONAL GUAYAQUIL,GUAYAS,GUAYAQUIL,NARANJAL (AG.),Ahorro,1519672.52,16095,15986
may-16,ZONAL GUAYAQUIL,GUAYAS,GUAYAQUIL,NARANJAL (AG.),Corriente,142843.93,104,92
may-16,ZONAL GUAYAQUIL,GUAYAS,GUAYAQUIL,NARANJAL (AG.),DPF,195712.13,18,16
may-16,ZONAL GUAYAQUIL,GUAYAS,GUAYAQUIL,PALESTINA (OE.),Ahorro,473425.46,4524,4495
may-16,ZONAL GUAYAQUIL,GUAYAS,GUAYAQUIL,PALESTINA (OE.),Corriente,32517.14,34,34
may-16,ZONAL GUAYAQUIL,GUAYAS,GUAYAQUIL,PEDRO CARBO (AG.),Ahorro,1564826.04,20452,19976
may-16,ZONAL GUAYAQUIL,GUAYAS,GUAYAQUIL,PEDRO CARBO (AG.),Corriente,241161.22,99,96
may-16,ZONAL GUAYAQUIL,GUAYAS,GUAYAQUIL,PEDRO CARBO (AG.),DPF,122843.91,18,17
may-16,ZONAL GUAYAQUIL,GUAYAS,GUAYAQUIL,PLAYAS (OE.),Ahorro,610827.26,9839,9828
may-16,ZONAL GUAYAQUIL,GUAYAS,GUAYAQUIL,PLAYAS (OE.),Corriente,176925.10,85,85
may-16,ZONAL GUAYAQUIL,GUAYAS,GUAYAQUIL,PLAYAS (OE.),DPF,43782.00,48,48
may-16,ZONAL GUAYAQUIL,GUAYAS,GUAYAQUIL,SALITRE (OE.),Ahorro,613377.52,12281,12099
may-16,ZONAL GUAYAQUIL,GUAYAS,GUAYAQUIL,SALITRE (OE.),Corriente,32307.29,43,38
may-16,ZONAL GUAYAQUIL,GUAYAS,GUAYAQUIL,SALITRE (OE.),DPF,6000.00,1,1
may-16,ZONAL GUAYAQUIL,GUAYAS,GUAYAQUIL,SAMBORONDON (AG.),Ahorro,205276.47,3069,3063
may-16,ZONAL GUAYAQUIL,GUAYAS,GUAYAQUIL,SAMBORONDON (AG.),Corriente,13367.65,33,31
may-16,ZONAL GUAYAQUIL,GUAYAS,GUAYAQUIL,SANTA LUCIA (AG.),Ahorro,641232.78,6025,6000
may-16,ZONAL GUAYAQUIL,GUAYAS,GUAYAQUIL,SANTA LUCIA (AG.),Corriente,123212.32,63,63
may-16,ZONAL GUAYAQUIL,GUAYAS,GUAYAQUIL,TARQUI (AG.),Ahorro,710794.60,7327,7320
may-16,ZONAL GUAYAQUIL,GUAYAS,GUAYAQUIL,TARQUI (AG.),Corriente,35980.56,50,50
may-16,ZONAL GUAYAQUIL,GUAYAS,GUAYAQUIL,TARQUI (AG.),DPF,17000.00,1,1
may-16,ZONAL GUAYAQUIL,LOS RIOS,BABAHOYO,BABA (AG.),Ahorro,866197.89,7571,7462
